id,ancestor_list,origin_time,score_AVE
0,[-1],-1,0.000000
1,[-1],-1,0.000000
2,[-1],-1,0.000000
3,[-1],-1,1.000000
4,[-1],-1,0.000000
5,[-1],-1,1.000000
6,[-1],-1,0.000000
7,[-1],-1,1.000000
8,[-1],-1,0.000000
9,[-1],-1,1.000000
10,[-1],-1,0.000000
11,[-1],-1,0.500000
12,[-1],-1,1.000000
13,[-1],-1,0.000000
14,[-1],-1,1.000000
15,[-1],-1,0.000000
16,[-1],-1,0.500000
17,[-1],-1,0.000000
18,[-1],-1,0.000000
19,[-1],-1,1.000000
20,[-1],-1,0.000000
21,[-1],-1,0.500000
22,[-1],-1,1.000000
23,[-1],-1,0.000000
24,[-1],-1,0.000000
25,[-1],-1,1.000000
26,[-1],-1,0.500000
27,[-1],-1,0.500000
28,[-1],-1,1.000000
29,[-1],-1,0.000000
30,[-1],-1,1.000000
31,[-1],-1,0.000000
32,[-1],-1,0.000000
33,[-1],-1,0.000000
34,[-1],-1,1.000000
35,[-1],-1,0.000000
36,[-1],-1,1.000000
37,[-1],-1,0.000000
38,[-1],-1,0.500000
39,[-1],-1,0.000000
40,[-1],-1,0.000000
41,[-1],-1,0.000000
42,[-1],-1,0.000000
43,[-1],-1,1.000000
44,[-1],-1,0.000000
45,[-1],-1,0.000000
46,[-1],-1,1.000000
47,[-1],-1,0.000000
48,[-1],-1,0.000000
49,[-1],-1,0.000000
50,[-1],-1,0.000000
51,[-1],-1,0.000000
52,[-1],-1,0.000000
53,[-1],-1,0.000000
54,[-1],-1,0.500000
55,[-1],-1,0.000000
56,[-1],-1,0.000000
57,[-1],-1,0.000000
58,[-1],-1,1.000000
59,[-1],-1,0.000000
60,[-1],-1,0.500000
61,[-1],-1,1.000000
62,[-1],-1,0.000000
63,[-1],-1,0.000000
64,[-1],-1,0.000000
65,[-1],-1,0.000000
66,[-1],-1,0.000000
67,[-1],-1,1.000000
68,[-1],-1,0.000000
69,[-1],-1,1.000000
70,[-1],-1,1.000000
71,[-1],-1,0.000000
72,[-1],-1,0.000000
73,[-1],-1,0.000000
74,[-1],-1,0.000000
75,[-1],-1,1.000000
76,[-1],-1,0.500000
77,[-1],-1,0.000000
78,[-1],-1,1.000000
79,[-1],-1,1.000000
80,[-1],-1,0.000000
81,[-1],-1,0.000000
82,[-1],-1,1.000000
83,[-1],-1,0.500000
84,[-1],-1,1.000000
85,[-1],-1,0.000000
86,[-1],-1,0.500000
87,[-1],-1,0.000000
88,[-1],-1,0.000000
89,[-1],-1,0.000000
90,[-1],-1,0.000000
91,[-1],-1,1.000000
92,[-1],-1,1.000000
93,[-1],-1,0.000000
94,[-1],-1,0.000000
95,[-1],-1,0.000000
96,[-1],-1,0.000000
97,[-1],-1,0.000000
98,[-1],-1,0.000000
99,[-1],-1,0.000000
1001,[22],9,1.000000
1002,[84],9,2.000000
1003,[7],9,1.000000
1004,[84],9,1.500000
1005,[84],9,1.000000
1006,[7],9,1.000000
1007,[7],9,1.000000
1008,[7],9,1.000000
1009,[7],9,1.000000
1010,[84],9,1.000000
1011,[84],9,2.000000
1012,[84],9,0.500000
1013,[7],9,1.000000
1014,[84],9,1.500000
1015,[84],9,1.000000
1016,[84],9,1.500000
1017,[84],9,2.000000
1018,[84],9,1.000000
1019,[61],9,1.000000
1020,[84],9,1.000000
1021,[22],9,1.000000
1022,[84],9,1.000000
1023,[84],9,1.000000
1024,[84],9,1.500000
1025,[91],9,1.000000
1026,[7],9,1.000000
1027,[69],9,1.000000
1028,[84],9,1.000000
1029,[84],9,2.500000
1030,[84],9,1.500000
1031,[84],9,1.500000
1032,[84],9,1.000000
1033,[75],9,0.500000
1034,[84],9,1.000000
1035,[84],9,1.000000
1036,[84],9,3.000000
1037,[84],9,1.000000
1038,[84],9,2.000000
1039,[84],9,1.000000
1040,[22],9,1.000000
1041,[84],9,1.500000
1042,[84],9,1.000000
1043,[84],9,1.500000
1044,[91],9,1.000000
1045,[75],9,0.500000
1046,[30],9,1.000000
1047,[30],9,1.000000
1048,[84],9,1.500000
1049,[84],9,4.000000
1050,[84],9,0.500000
1051,[84],9,1.000000
1052,[30],9,1.000000
1053,[84],9,1.000000
1054,[84],9,1.000000
1055,[22],9,1.000000
1056,[22],9,1.000000
1057,[22],9,1.000000
1058,[30],9,1.000000
1059,[22],9,1.000000
1060,[91],9,1.000000
1061,[84],9,1.000000
1062,[84],9,2.500000
1063,[84],9,1.500000
1064,[22],9,1.000000
1065,[84],9,1.500000
1066,[30],9,1.000000
1067,[30],9,1.000000
1068,[7],9,1.000000
1069,[22],9,1.000000
1070,[84],9,1.000000
1071,[69],9,1.000000
1072,[84],9,2.500000
1073,[84],9,2.500000
1074,[22],9,1.000000
1075,[91],9,0.500000
1076,[84],9,2.500000
1077,[22],9,1.000000
1078,[30],9,1.000000
1079,[84],9,1.000000
1080,[61],9,1.000000
1081,[84],9,1.500000
1082,[7],9,1.000000
1083,[84],9,1.000000
1084,[30],9,1.000000
1085,[84],9,1.500000
1086,[84],9,1.500000
1087,[84],9,1.000000
1088,[84],9,2.000000
1089,[22],9,1.000000
1090,[69],9,1.000000
1091,[84],9,3.500000
1092,[61],9,1.000000
1093,[69],9,1.000000
1094,[84],9,1.000000
1095,[22],9,1.000000
1096,[84],9,1.000000
1097,[84],9,1.000000
1098,[30],9,1.000000
1099,[61],9,1.000000
1100,[84],9,1.000000
2001,[1091],19,1.500000
2002,[1031],19,2.000000
2003,[1035],19,1.000000
2004,[1004],19,1.000000
2005,[1023],19,1.000000
2006,[1031],19,0.500000
2007,[1061],19,1.000000
2008,[1062],19,2.000000
2009,[1023],19,2.000000
2010,[1048],19,1.500000
2011,[1004],19,1.000000
2012,[1061],19,2.000000
2013,[1091],19,1.000000
2014,[1031],19,1.000000
2015,[1011],19,1.500000
2016,[1062],19,1.500000
2017,[1062],19,1.000000
2018,[1031],19,1.500000
2019,[1062],19,1.000000
2020,[1091],19,2.000000
2021,[1023],19,0.500000
2022,[1014],19,1.000000
2023,[1091],19,1.500000
2024,[1004],19,1.000000
2025,[1061],19,1.500000
2026,[1100],19,1.000000
2027,[1031],19,1.000000
2028,[1048],19,1.000000
2029,[1048],19,1.000000
2030,[1062],19,1.000000
2031,[1091],19,1.000000
2032,[1048],19,4.000000
2033,[1004],19,0.500000
2034,[1048],19,1.000000
2035,[1100],19,1.000000
2036,[1031],19,2.000000
2037,[1091],19,1.500000
2038,[1004],19,1.000000
2039,[1100],19,1.500000
2040,[1031],19,1.000000
2041,[1062],19,1.000000
2042,[1011],19,1.500000
2043,[1014],19,1.000000
2044,[1035],19,0.500000
2045,[1011],19,2.000000
2046,[1048],19,1.500000
2047,[1062],19,2.000000
2048,[1048],19,1.500000
2049,[1004],19,1.500000
2050,[1100],19,1.000000
2051,[1091],19,1.000000
2052,[1062],19,1.000000
2053,[1023],19,1.500000
2054,[1031],19,1.000000
2055,[1031],19,1.000000
2056,[1011],19,1.500000
2057,[1031],19,1.000000
2058,[1011],19,0.500000
2059,[1091],19,2.000000
2060,[1014],19,1.000000
2061,[1011],19,1.500000
2062,[1004],19,1.000000
2063,[1004],19,1.000000
2064,[1035],19,1.000000
2065,[1048],19,1.500000
2066,[1004],19,1.500000
2067,[1035],19,1.000000
2068,[1072],19,1.000000
2069,[1031],19,1.000000
2070,[1062],19,1.000000
2071,[1091],19,1.000000
2072,[1004],19,1.500000
2073,[1004],19,1.500000
2074,[1091],19,1.500000
2075,[1011],19,1.000000
2076,[1011],19,1.000000
2077,[1091],19,1.000000
2078,[1011],19,1.500000
2079,[1011],19,1.000000
2080,[1085],19,2.500000
2081,[1031],19,0.000000
2082,[1031],19,1.000000
2083,[1072],19,1.500000
2084,[1048],19,0.500000
2085,[1061],19,1.000000
2086,[1031],19,1.000000
2087,[1062],19,1.500000
2088,[1031],19,1.000000
2089,[1023],19,1.500000
2090,[1072],19,1.500000
2091,[1031],19,1.500000
2092,[1004],19,1.000000
2093,[1023],19,1.500000
2094,[1091],19,1.000000
2095,[1004],19,1.500000
2096,[1085],19,2.000000
2097,[1072],19,1.000000
2098,[1011],19,1.000000
2099,[1004],19,0.500000
2100,[1091],19,1.000000
3001,[2001],29,1.000000
3002,[2001],29,1.000000
3003,[2038],29,1.000000
3004,[2001],29,1.000000
3005,[2001],29,1.500000
3006,[2073],29,1.500000
3007,[2001],29,1.000000
3008,[2001],29,2.500000
3009,[2072],29,1.000000
3010,[2001],29,1.500000
3011,[2092],29,2.500000
3012,[2001],29,1.000000
3013,[2063],29,0.000000
