ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
25001,1,1,4.000000,"1,7",14,25,0,4411,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4.000000,"1,7",0.000000,"0,0",1798,4.000000,1.000000,"2,0",4.000000,"1.000000,7.000000",0.000000,"0,0",249,0.000000,"0,0","24015",250
25002,1,1,8.500000,"11,6",13,23,0,4412,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",8.500000,"11,6",0.000000,"0,0",1966,8.500000,0.500000,"1,0",8.500000,"11.000000,6.000000",0.000000,"0,0",249,0.000000,"0,0","24081",250
25003,0,1,1.000000,"0,2",14,24,0,4412,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",1.000000,"0,2",0.000000,"0,0",1775,1.000000,1.000000,"2,0",1.000000,"0.000000,2.000000",0.000000,"0,0",249,0.000000,"0,0","24024",250
25004,0,1,0.000000,"0,0",17,23,0,5176,0,6.500000,"8,5",6.500000,"6,7",1.500000,"0,3",0.000000,"0,0",3.500000,"3,4",3216,5.500000,11.000000,"12,10",5.500000,"5.000000,6.000000",12.500000,"12,13",249,2.500000,"3,2","24085",250
25005,0,1,3.000000,"2,4",18,24,0,5174,0,3.000000,"2,4",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3467,3.000000,0.000000,"0,0",3.000000,"2.000000,4.000000",0.000000,"0,0",249,0.000000,"0,0","24085",250
25006,0,1,0.500000,"0,1",22,21,0,6171,0,1.000000,"2,0",0.000000,"0,0",0.500000,"1,0",0.500000,"0,1",0.500000,"1,0",5252,1.500000,18.500000,"30,7",1.500000,"2.000000,1.000000",1.000000,"2,0",249,0.000000,"0,0","24076",250
25007,1,1,2.000000,"1,3",20,17,0,6180,0,0.500000,"1,0",0.000000,"0,0",0.500000,"0,1",0.000000,"0,0",4.500000,"3,6",5873,4.500000,1.000000,"1,1",4.500000,"3.000000,6.000000",1.000000,"1,1",249,0.000000,"0,0","24078",250
25008,0,1,0.000000,"0,0",17,20,0,5320,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4077,0.000000,0.000000,"0,0",0.000000,"0.000000,0.000000",0.000000,"0,0",249,0.000000,"0,0","24052",250
25009,2,1,8.500000,"9,8",21,17,0,6172,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",8.500000,"9,8",6021,8.500000,1.000000,"2,0",8.500000,"9.000000,8.000000",0.000000,"0,0",249,0.000000,"0,0","24078",250
25010,1,1,3.000000,"4,2",14,24,0,4410,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3.000000,"4,2",0.000000,"0,0",1775,3.000000,0.000000,"0,0",3.000000,"4.000000,2.000000",0.000000,"0,0",249,0.000000,"0,0","24024",250
25011,3,1,0.500000,"1,0",20,19,0,5354,0,4.500000,"3,6",3.000000,"2,4",5.500000,"8,3",1.000000,"1,1",2.000000,"1,3",5048,5.000000,5.500000,"7,4",5.000000,"5.000000,5.000000",11.000000,"10,12",249,1.500000,"0,3","24001",250
25012,0,1,0.000000,"0,0",15,23,0,5155,0,5.000000,"5,5",4.000000,"4,4",4.000000,"4,4",0.000000,"0,0",3.000000,"2,4",2846,3.500000,7.000000,"9,5",3.500000,"4.000000,3.000000",12.500000,"11,14",249,0.000000,"0,0","24025",250
25013,4,1,8.000000,"8,8",14,22,0,4420,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",8.000000,"8,8",0.000000,"0,0",2013,8.000000,1.000000,"2,0",8.000000,"8.000000,8.000000",0.000000,"0,0",249,0.000000,"0,0","24028",250
25014,2,1,0.000000,"0,0",20,20,0,5346,0,6.500000,"7,6",4.500000,"5,4",6.000000,"7,5",2.000000,"2,2",1.000000,"2,0",4841,5.000000,12.000000,"7,17",5.000000,"7.000000,3.000000",15.000000,"16,14",249,0.000000,"0,0","24001",250
25015,0,1,1.000000,"1,1",17,20,0,5320,0,0.500000,"0,1",0.000000,"0,0",0.000000,"0,0",0.500000,"1,0",0.000000,"0,0",4077,1.000000,0.500000,"1,0",1.000000,"1.000000,1.000000",0.000000,"0,0",249,0.000000,"0,0","24052",250
25016,1,1,0.000000,"0,0",17,22,0,5199,0,6.500000,"7,6",3.500000,"6,1",3.500000,"4,3",0.000000,"0,0",4.000000,"2,6",3679,4.500000,11.500000,"7,16",4.500000,"3.000000,6.000000",13.000000,"16,10",249,0.500000,"1,0","24025",250
25017,0,1,0.000000,"0,0",19,22,0,5282,0,4.000000,"3,5",6.500000,"6,7",4.500000,"6,3",2.000000,"3,1",3.000000,"2,4",4192,5.500000,9.500000,"9,10",5.500000,"5.000000,6.000000",14.500000,"15,14",249,0.000000,"0,0","24052",250
25018,0,1,0.000000,"0,0",17,20,0,5305,0,3.000000,"4,2",7.000000,"7,7",4.500000,"2,7",2.000000,"2,2",4.000000,"4,4",4077,6.000000,9.000000,"12,6",6.000000,"5.000000,7.000000",14.500000,"14,15",249,2.000000,"0,4","24047",250
25019,1,1,0.000000,"0,0",22,20,0,5344,0,6.500000,"8,5",6.500000,"5,8",3.000000,"2,4",0.500000,"0,1",4.000000,"2,6",5442,6.500000,10.500000,"15,6",6.500000,"4.000000,9.000000",14.000000,"13,15",249,1.000000,"0,2","24001",250
25020,1,1,0.000000,"0,0",17,20,0,5304,0,3.000000,"6,0",1.500000,"1,2",1.500000,"1,2",2.500000,"4,1",1.000000,"2,0",4077,2.000000,18.000000,"11,25",2.000000,"1.000000,3.000000",7.500000,"13,2",249,2.500000,"5,0","24052",250
25021,3,1,0.000000,"0,0",19,22,0,5285,0,6.500000,"6,7",6.500000,"7,6",2.500000,"1,4",3.500000,"5,2",3.000000,"1,5",4192,6.500000,8.000000,"9,7",6.500000,"4.000000,9.000000",15.500000,"16,15",249,1.500000,"3,0","24052",250
25022,1,1,0.000000,"0,0",21,19,0,5357,0,4.500000,"5,4",3.500000,"3,4",5.000000,"6,4",3.500000,"5,2",4.500000,"2,7",5535,7.000000,7.500000,"6,9",7.000000,"8.000000,6.000000",14.000000,"13,15",249,4.500000,"6,3","24001",250
25023,2,1,0.500000,"0,1",22,19,0,5357,0,3.000000,"3,3",6.000000,"9,3",7.000000,"4,10",2.000000,"3,1",2.500000,"3,2",5810,6.500000,6.000000,"7,5",6.500000,"6.000000,7.000000",14.000000,"16,12",249,5.000000,"2,8","24001",250
25024,3,1,7.500000,"8,7",13,23,0,4395,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",7.500000,"8,7",0.000000,"0,0",1966,7.500000,1.000000,"2,0",7.500000,"8.000000,7.000000",0.000000,"0,0",249,0.000000,"0,0","24032",250
25025,1,1,0.000000,"0,0",20,19,0,5332,0,4.000000,"3,5",5.000000,"6,4",5.500000,"5,6",3.500000,"3,4",6.000000,"5,7",5069,3.500000,7.500000,"10,5",3.500000,"4.000000,3.000000",20.500000,"18,23",249,0.500000,"0,1","24001",250
25026,0,1,0.000000,"0,0",17,20,0,5295,0,4.000000,"5,3",4.500000,"2,7",5.000000,"5,5",3.000000,"3,3",2.500000,"2,3",3922,3.500000,7.000000,"7,7",3.500000,"4.000000,3.000000",15.500000,"13,18",249,2.500000,"5,0","24033",250
25027,0,1,0.000000,"0,0",21,19,0,5338,0,5.500000,"7,4",8.000000,"8,8",2.000000,"1,3",2.500000,"2,3",5.000000,"4,6",5252,4.000000,7.500000,"7,8",4.000000,"5.000000,3.000000",19.000000,"17,21",249,1.000000,"2,0","24001",250
25028,0,1,0.000000,"0,0",15,23,0,5158,0,3.000000,"3,3",4.000000,"4,4",4.500000,"6,3",0.000000,"0,0",1.500000,"3,0",2846,4.000000,8.500000,"8,9",4.000000,"5.000000,3.000000",9.000000,"11,7",249,5.500000,"1,10","24025",250
25029,2,1,0.000000,"0,0",21,19,0,5353,0,5.000000,"4,6",5.500000,"4,7",4.000000,"2,6",3.000000,"4,2",5.500000,"5,6",5257,7.500000,9.500000,"13,6",7.500000,"3.000000,12.000000",15.500000,"16,15",249,0.000000,"0,0","24001",250
25030,3,1,5.000000,"3,7",20,17,0,6192,0,0.000000,"0,0",0.000000,"0,0",0.500000,"1,0",0.000000,"0,0",6.500000,"6,7",5873,6.500000,1.000000,"1,1",6.500000,"6.000000,7.000000",0.500000,"1,0",249,0.000000,"0,0","24078",250
25031,0,1,5.500000,"8,3",15,22,0,4429,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5.500000,"8,3",0.000000,"0,0",2320,5.500000,4.000000,"7,1",5.500000,"8.000000,3.000000",0.000000,"0,0",249,0.000000,"0,0","24028",250
25032,1,1,0.000000,"0,0",21,19,0,5345,0,6.000000,"4,8",5.000000,"5,5",2.000000,"3,1",2.000000,"2,2",6.500000,"6,7",5535,5.500000,8.500000,"9,8",5.500000,"4.000000,7.000000",16.000000,"16,16",249,1.000000,"0,2","24001",250
25033,2,1,12.000000,"12,12",15,22,0,4446,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",12.000000,"12,12",0.000000,"0,0",2320,12.000000,10.500000,"14,7",12.000000,"12.000000,12.000000",0.000000,"0,0",249,0.000000,"0,0","24028",250
25034,3,1,0.000000,"0,0",15,23,0,5158,0,4.500000,"4,5",3.000000,"4,2",4.500000,"5,4",0.000000,"0,0",3.500000,"4,3",2846,5.500000,7.500000,"10,5",5.500000,"7.000000,4.000000",10.000000,"10,10",249,7.000000,"5,9","24025",250
25035,3,1,0.000000,"0,0",17,20,0,5299,0,5.000000,"4,6",3.000000,"2,4",5.000000,"6,4",2.000000,"0,4",1.500000,"3,0",3922,5.500000,10.000000,"9,11",5.500000,"6.000000,5.000000",11.000000,"9,13",249,4.000000,"7,1","24033",250
25036,1,1,9.000000,"15,3",17,24,0,4436,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",9.000000,"15,3",0.000000,"0,0",2261,9.000000,5.500000,"6,5",9.000000,"15.000000,3.000000",0.000000,"0,0",249,1.000000,"0,2","24080",250
25037,0,1,0.000000,"0,0",18,20,0,5313,0,3.500000,"2,5",3.000000,"2,4",2.500000,"2,3",2.000000,"4,0",6.000000,"7,5",4252,5.500000,11.000000,"12,10",5.500000,"6.000000,5.000000",11.500000,"11,12",249,5.000000,"5,5","24052",250
25038,1,1,3.500000,"5,2",15,22,0,4427,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3.500000,"5,2",0.000000,"0,0",2320,3.500000,6.000000,"12,0",3.500000,"5.000000,2.000000",0.000000,"0,0",249,3.000000,"0,6","24028",250
25039,0,1,0.000000,"0,0",20,19,0,5337,0,7.000000,"7,7",3.000000,"2,4",3.000000,"4,2",4.000000,"5,3",3.000000,"4,2",5069,4.000000,11.000000,"9,13",4.000000,"3.000000,5.000000",16.000000,"19,13",249,0.000000,"0,0","24001",250
25040,1,1,9.500000,"10,9",14,22,0,4420,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",9.500000,"10,9",0.000000,"0,0",2013,9.500000,7.000000,"8,6",9.500000,"10.000000,9.000000",0.000000,"0,0",249,0.000000,"0,0","24028",250
