update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
740,74100,5,1,73049.788732,"73046,73018,73097,73068,73023,73060,73036,73065,73082,73098,73019,73011,73090,73042,73005,73047,73040,73074,73081,73002,73007,73041,73075,73034,73093,73056,73087,73008,73039,73076,73048,73100,73021,73095,73058,73030,73027,73064,73032,73049,73066,73029,73063,73083,73004,73078,73057,73020,73094,73024,73022,73043,73077,73013,73072,73089,73010,73052,73051,73054,73096,73017,73012,73091,73001,73028,73026,73061,73035,73038,73085",1.500000,"2,1",0,0,0,27,0,15.500000,"17,14",0.000000,"0,0",0.000000,"0,0",6.500000,"5,8",0.000000,"0,0",5144,14.000000,2.500000,"3,2",14.000000,"16.000000,12.000000",8.000000,"6,10",739,0.000000,"0,0"
740,74002,5,1,73050.275362,"73046,73018,73097,73068,73023,73060,73036,73039,73076,73082,73090,73011,73042,73005,73047,73041,73075,73038,73095,73058,73021,73100,73098,73019,73061,73093,73056,73040,73065,73028,73085,73048,73030,73027,73064,73081,73002,73032,73049,73066,73029,73063,73083,73004,73078,73057,73020,73094,73024,73022,73043,73077,73013,73072,73089,73010,73052,73051,73054,73017,73012,73091,73034,73073,73087,73007,73026,73074,73001",2.500000,"1,4",0,0,0,25,0,0.000000,"0,0",10.000000,"4,16",0.000000,"0,0",0.000000,"0,0",4.500000,"6,3",5119,10.000000,2.000000,"2,2",10.000000,"6.000000,14.000000",4.500000,"4,5",739,0.000000,"0,0"
740,74003,2,1,73049.361111,"73034,73035,73007,73073,73001,73075,73072,73077,73040,73024,73061,73047,73087,73013,73029,73066,73096,73017,73054,73093,73014,73051,73068,73064,73030,73081,73002,73090,73011,73074,73010,73089,73052,73085,73048,73082,73049,73043,73057,73094,73020,73005,73042,73041,73078,73065,73063,73026,73060,73023,73097,73018,73032,73056,73098,73019,73036,73027,73016,73095,73058,73004,73083,73046,73022,73091,73012,73038,73100,73021,73039,73028",1.000000,"1,1",0,0,0,32,0,0.000000,"0,0",8.500000,"11,6",0.000000,"0,0",0.000000,"0,0",8.500000,"9,8",5256,10.500000,2.000000,"3,1",10.500000,"11.000000,10.000000",6.500000,"9,4",739,0.000000,"0,0"
740,74004,1,1,73049.319444,"73036,73073,73068,73058,73021,73100,73032,73096,73017,73022,73046,73066,73029,73043,73014,73093,73082,73024,73034,73097,73018,73001,73074,73054,73091,73012,73039,73002,73081,73057,73094,73020,73049,73013,73028,73065,73040,73077,73072,73030,73019,73098,73048,73085,73063,73026,73005,73042,73090,73095,73016,73047,73083,73004,73041,73078,73089,73010,73052,73023,73075,73027,73051,73008,73087,73064,73007,73061,73035,73060,73038,73056",1.000000,"1,1",0,1,0,20,0,0.000000,"0,0",0.000000,"0,0",10.000000,"13,7",0.000000,"0,0",12.000000,"14,10",4524,10.000000,0.500000,"0,1",10.000000,"13.000000,7.000000",12.000000,"14,10",739,0.000000,"0,0"
740,74098,5,1,73050.128571,"73073,73054,73065,73072,73052,73089,73032,73096,73017,73022,73056,73093,73014,73013,73087,73078,73041,73094,73007,73075,73026,73051,73034,73027,73048,73085,73011,73090,73058,73095,73016,73100,73021,73082,73047,73036,73018,73097,73023,73060,73020,73004,73083,73046,73066,73029,73063,73074,73040,73024,73019,73098,73030,73068,73005,73042,73002,73081,73039,73049,73091,73012,73001,73077,73043,73057,73064,73038,73061,73028",1.500000,"1,2",1,0,0,30,0,0.000000,"0,0",0.000000,"0,0",12.000000,"12,12",0.000000,"0,0",10.000000,"15,5",5531,15.000000,0.500000,"1,0",15.000000,"17.000000,13.000000",7.000000,"10,4",739,0.000000,"0,0"
740,74097,1,1,73049.681159,"73028,73034,73085,73048,73065,73075,73001,73038,73035,73072,73030,73043,73097,73018,73017,73091,73012,73054,73049,73032,73066,73029,73083,73004,73046,73061,73027,73058,73021,73100,73095,73057,73094,73041,73078,73047,73022,73090,73039,73093,73056,73019,73098,73040,73077,73036,73089,73010,73024,73007,73063,73026,73013,73008,73087,73042,73082,73023,73060,73068,73051,73074,73064,73002,73081,73005,73076,73020,73052",2.000000,"3,1",0,0,0,29,0,0.000000,"0,0",2.000000,"3,1",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5117,2.000000,20.000000,"1,39",2.000000,"3.000000,1.000000",0.000000,"0,0",739,0.000000,"0,0"
740,74007,2,1,73049.405797,"73064,73038,73028,73056,73094,73066,73029,73083,73004,73046,73063,73005,73042,73054,73096,73017,73068,73052,73018,73097,73073,73036,73081,73002,73039,73022,73060,73078,73041,73075,73007,73024,73048,73085,73011,73090,73016,73095,73058,73021,73032,73082,73030,73019,73098,73051,73093,73014,73065,73023,73072,73089,73049,73047,73087,73013,73077,73040,73074,73012,73091,73001,73026,73027,73043,73057,73020,73061,73034",0.500000,"0,1",0,0,0,22,0,5.500000,"5,6",0.000000,"0,0",0.000000,"0,0",5.000000,"5,5",0.000000,"0,0",5591,6.000000,14.000000,"26,2",6.000000,"7.000000,5.000000",4.500000,"3,6",739,0.000000,"0,0"
740,74096,3,1,73049.361111,"73085,73036,73096,73017,73022,73039,73093,73014,73094,73057,73020,73032,73090,73011,73083,73004,73072,73052,73089,73010,73018,73097,73087,73041,73038,73001,73075,73034,73051,73023,73027,73100,73021,73058,73095,73016,73054,73042,73005,73047,73049,73048,73012,73091,73064,73013,73046,73066,73029,73068,73074,73082,73065,73024,73019,73098,73030,73002,73081,73043,73040,73077,73063,73026,73035,73073,73056,73078,73007,73060,73061,73028",4.500000,"3,6",0,0,0,25,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4.500000,"3,6",5136,4.500000,15.500000,"2,29",4.500000,"3.000000,6.000000",0.000000,"0,0",739,0.000000,"0,0"
740,74009,5,1,73049.361111,"73038,73035,73001,73007,73082,73028,73065,73017,73096,73054,73091,73012,73047,73046,73083,73004,73072,73020,73016,73095,73027,73032,73013,73087,73077,73061,73042,73005,73039,73078,73041,73058,73075,73052,73018,73097,73068,73085,73029,73066,73049,73022,73051,73010,73089,73014,73093,73056,73019,73098,73024,73043,73034,73011,73090,73021,73100,73026,73063,73040,73036,73074,73023,73060,73094,73073,73057,73081,73002,73030,73048,73064",1.000000,"1,1",0,0,0,18,0,0.000000,"0,0",9.000000,"15,3",0.000000,"0,0",0.000000,"0,0",8.000000,"12,4",5022,10.500000,17.000000,"3,31",10.500000,"16.000000,5.000000",6.500000,"11,2",739,0.000000,"0,0"
740,74010,3,1,73049.085714,"73038,73035,73090,73011,73005,73042,73030,73043,73074,73032,73004,73083,73046,73039,73002,73081,73047,73013,73094,73020,73057,73007,73018,73097,73075,73001,73029,73066,73040,73060,73026,73082,73056,73093,73019,73098,73073,73036,73054,73017,73058,73095,73021,73100,73048,73085,73049,73091,73012,73034,73068,73008,73087,73063,73064,73027,73024,73061,73078,73077,73065,73028,73023,73052,73010,73089,73072,73051,73022,73041",1.000000,"1,1",0,0,0,26,0,6.500000,"8,5",0.000000,"0,0",0.500000,"0,1",6.000000,"9,3",0.000000,"0,0",4974,6.000000,2.500000,"2,3",6.000000,"9.000000,3.000000",7.000000,"8,6",739,0.000000,"0,0"
740,74095,1,1,73050.294118,"73057,73076,73085,73048,73078,73041,73012,73091,73020,73094,73018,73097,73060,73036,73082,73100,73021,73087,73056,73090,73077,73043,73017,73054,73007,73047,73010,73089,73075,73001,73038,73035,73072,73095,73058,73028,73065,73034,73013,73064,73027,73061,73024,73093,73098,73019,73023,73051,73026,73063,73022,73032,73004,73083,73046,73066,73029,73074,73040,73052,73030,73068,73005,73042,73081,73002,73039,73049",1.000000,"1,1",0,0,0,33,0,7.000000,"6,8",0.000000,"0,0",0.000000,"0,0",9.000000,"12,6",0.000000,"0,0",5464,6.000000,13.500000,"5,22",6.000000,"10.000000,2.000000",10.000000,"8,12",739,0.000000,"0,0"
740,74012,1,1,73050.426471,"73038,73082,73028,73065,73017,73096,73054,73091,73012,73047,73046,73083,73004,73072,73020,73016,73095,73027,73032,73013,73087,73077,73061,73042,73005,73039,73078,73041,73058,73075,73052,73018,73097,73068,73085,73029,73066,73049,73022,73051,73089,73014,73093,73056,73019,73098,73024,73043,73034,73011,73090,73021,73100,73026,73063,73040,73036,73074,73023,73060,73094,73001,73002,73081,73048,73064,73030,73057",1.500000,"1,2",0,0,0,36,0,3.000000,"5,1",0.000000,"0,0",0.500000,"0,1",5.500000,"4,7",0.000000,"0,0",5141,4.000000,20.000000,"16,24",4.000000,"2.000000,6.000000",5.000000,"7,3",739,0.000000,"0,0"
740,74013,4,1,73048.676056,"73064,73043,73007,73014,73093,73056,73019,73047,73078,73041,73004,73083,73046,73066,73029,73035,73100,73021,73001,73038,73034,73048,73085,73068,73073,73039,73020,73094,73063,73026,73060,73023,73054,73017,73096,73091,73012,73049,73075,73097,73018,73032,73030,73061,73024,73016,73095,73058,73027,73011,73090,73022,73052,73089,73010,73072,73077,73040,73042,73074,73051,73065,73028,73036,73082,73087,73013,73057,73081,73002,73005",7.000000,"2,12",0,0,0,24,0,0.000000,"0,0",7.000000,"2,12",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5141,7.000000,1.000000,"2,0",7.000000,"2.000000,12.000000",0.000000,"0,0",739,0.000000,"0,0"
